"","GARCH","EGARCH","GJR-GARCH","RV"
"2019-09-15",2.05612025532394,1.96150588114231,1.75908951589875,0.883018017332707
"2019-09-22",1.87997636738838,1.76727109536255,1.61311712986829,0.798793289564644
"2019-09-29",1.7000215010326,1.72113071384768,1.53755818749578,1.09443546414311
"2019-10-06",1.6209807749888,1.83957398876033,1.59999582741677,1.66372504856227
"2019-10-13",1.48872841607851,1.72498307413568,1.50406368139222,1.50093542916518
"2019-10-20",1.41173786638839,1.56853444617993,1.41688114150819,1.06179391707337
"2019-10-27",1.34601726021291,1.44148939821089,1.35126447383699,0.968441008170655
"2019-11-03",1.40621311205149,1.36965408363476,1.31232868763578,1.09516623511282
"2019-11-10",1.50198264295258,1.32388957691552,1.28997342869101,0.73725286023994
"2019-11-17",1.44982575182944,1.26006240238446,1.26284358956094,0.902279102497832
"2019-11-24",1.41664442872492,1.20964666107621,1.24351405738136,0.684832349772739
"2019-12-01",1.33136955731361,1.22561332955976,1.24282972003327,0.985323005448524
"2019-12-08",1.34901082025818,1.18557548841718,1.22954485242818,1.2500631973743
"2019-12-15",1.27148522753681,1.11624463652565,1.21081293053753,0.980928090902725
"2019-12-22",1.26351157711451,1.08358943785627,1.20116944825583,0.987660597014251
"2019-12-29",1.45805113801858,1.10265481731497,1.2154232988541,0.720528057345661
"2020-01-05",1.38075515001948,1.06596252740162,1.20300796526746,1.12832400327084
"2020-01-12",1.29367242451271,1.05632379541691,1.19511946156102,0.990908331089709
"2020-01-19",1.31180380485608,1.04347943051599,1.19205221734535,1.08462724603881
"2020-01-26",1.57555238076261,1.08844986534135,1.21821049178916,0.976541678104365
"2020-02-02",1.52755445888139,1.37093727049134,1.39689746579758,1.61551774010822
"2020-02-09",1.76234436945269,2.02687001853486,1.99290077146307,1.4473797886174
"2020-02-16",2.22164361598112,1.90988838071575,1.8371295808481,1.00908575887875
"2020-02-23",2.09378308605973,1.74628055632197,1.6738682714753,1.11939294114435
"2020-03-01",1.94759163106087,1.93903324363126,1.76867687876967,2.55031744284264
"2020-03-08",6.66056757293558,13.5855396448899,9.52138457918833,2.7871367582332
"2020-03-15",5.53041219299465,8.69342990978181,7.67239264450896,4.12501402460598
"2020-03-22",6.71278530512036,8.68153822421994,9.40961712570785,3.95652263800486
"2020-03-29",10.4031551872342,11.5273348309167,14.7210531077223,3.4335342178324
"2020-04-05",10.0708793267397,8.14084910555738,12.0173703525706,2.53470870521037
"2020-04-12",8.37663000030438,6.22744091300903,9.82411587871262,2.77742038322195
"2020-04-19",9.27068499933422,5.22129464629247,8.2868046980239,2.17528295671117
"2020-04-26",7.81639093714273,4.04981500557625,6.71956819242015,2.11514280648119
"2020-05-03",6.48845445099483,3.50040034293819,5.50986411067705,2.06688042130657
"2020-05-10",5.34626926225708,2.81909663853662,4.4288396798298,1.5375011602332
"2020-05-17",4.78102427011782,2.50308818142462,3.65761999066512,1.7253156174266
"2020-05-24",4.12551932492504,2.85994429765189,3.45746434621074,1.9385265855039
"2020-05-31",3.81575374780984,2.50648444306788,2.91565859609673,1.40827345744403
"2020-06-07",3.54932635822186,2.25306800380634,2.50928517346898,1.75354895689191
"2020-06-14",3.94805395496904,2.22089642150132,2.4158992379198,2.52923995239061
"2020-06-21",4.22043635376554,3.99954610371846,4.2818439086086,1.46992499601579
"2020-06-28",3.64433976130869,3.24065333884038,3.55584515301073,1.95703256583084
"2020-07-05",3.42219951865547,3.54379555497816,3.68372490143445,1.48935034635508
"2020-07-12",3.56893766006407,3.06406897118945,3.1803871538565,1.54367052439179
"2020-07-19",3.1279023150199,2.59721464767528,2.6933890803134,1.38438809954323
"2020-07-26",2.71295700672713,2.23574001776838,2.30237267094959,1.31384350763368
"2020-08-02",2.30320561299764,1.98140504693002,1.9960754579143,1.33908314968179
"2020-08-09",2.18331092568365,1.81906004830677,1.79514333103969,1.10059561725205
"2020-08-16",2.29668971846925,1.74961680915747,1.69584408563123,1.28060260025889
"2020-08-23",2.00692923323278,1.57670175781996,1.54315390100377,0.8566259684897
"2020-08-30",1.79577671058373,1.45060395556914,1.43668380580019,1.27405012286613
"2020-09-06",2.35159668283197,1.53997045945143,1.52355819377626,2.01203412032805
"2020-09-13",2.37954514627219,2.29528598560923,2.25253517460914,1.96968842963182
"2020-09-20",2.45695709291679,2.81965245160221,2.72497583647645,1.42007612858942
"2020-09-27",2.13337438678503,2.50865917857972,2.36505448132803,1.81341996874692
"2020-10-04",1.88585337353282,2.28724738888696,2.09641731032327,1.46984743013497
"2020-10-11",1.84994519322028,2.03579011460966,1.86864894927874,1.75705112585476
"2020-10-18",2.59897499306168,2.00914442788744,1.85677649177081,1.36940567023012
"2020-10-25",2.22036229245747,1.74818333547196,1.66075343614444,1.35498871090561
"2020-11-01",1.94547486080976,1.70341762482289,1.56924668649506,2.09921796116263
"2020-11-08",3.53502326466991,4.60626325284168,4.48989802051484,1.90184008369839
"2020-11-15",4.83688423749628,4.02017706231377,4.06955102010067,1.47915926725341
"2020-11-22",4.16592723547584,3.28282329687187,3.41369074947266,1.37209876889748
"2020-11-29",3.49328955530826,2.87536300966362,2.92092553615433,1.31262938022153
"2020-12-06",3.16703991081785,2.50627500095813,2.52975663436903,1.22857349619236
"2020-12-13",2.81140920533119,2.20628833569729,2.20641393177582,0.941133698378229
"2020-12-20",2.43936407399767,2.18332090183242,2.05512147969264,1.23466957846326
"2020-12-27",2.19412503773156,1.94604896359093,1.83465148554619,0.755880362370579
"2021-01-03",1.90010337455015,1.74520255670356,1.65451794142136,1.05394383236454
"2021-01-10",1.84128355019469,1.63000050233087,1.55000815936097,1.53168587306103
"2021-01-17",1.90102542262557,1.56854076259072,1.49744094923863,1.03510709907203
"2021-01-24",1.85855343784591,1.92535803004888,1.78385243517394,1.27755094266806
"2021-01-31",1.9440476989929,1.7968595104172,1.66602456243499,1.84810260258678
"2021-02-07",2.4908630240511,2.94181642785751,2.9154620321036,1.54971078094039
"2021-02-14",3.25263643054032,2.696846970352,2.67115574314708,0.947384623171499
"2021-02-21",2.80284673560497,2.31300363841224,2.2933675196564,0.695956660097333
"2021-02-28",2.40383855395476,2.17992661731578,2.06229463861409,1.69536533288871
"2021-03-07",2.45589258289997,2.72571360481457,2.58208983473602,1.91573426588744
"2021-03-14",2.14686198332225,2.31180360999355,2.22151665812848,1.38744160387859
"2021-03-21",2.3328123559195,2.1219844755836,2.01863219103145,1.28670562377817
"2021-03-28",2.0504146681201,2.06023913203722,1.87672437373626,1.44594316652302
"2021-04-04",1.97750607272198,1.87343092857935,1.71568344139994,1.12823708876517
"2021-04-11",1.8401022710911,1.70844677717998,1.58412417590848,1.29986689228335
"2021-04-18",2.17447843019528,1.68509483144249,1.57760531232469,1.12877341622668
"2021-04-25",2.02379191244555,1.5807365278693,1.495297341393,1.38170529196012
"2021-05-02",1.77399038032411,1.45483372974304,1.41130410089958,1.00372768614745
"2021-05-09",1.58423765257019,1.3213613745746,1.34973411788134,1.14690934376894
"2021-05-16",1.58570926035412,1.29094496331546,1.33205227088121,1.78787509201003
"2021-05-23",1.62783940600519,1.70562592355616,1.65617828149489,1.18790670689393
"2021-05-30",1.49345847571682,1.64627136073836,1.5557720682177,1.01767164915166
