Period;Value;Simple Growth Rate %;Y-o-Y Change %;Annual % Rate;Type
31.10.2023;3.9;NM;NM;NM;Actual
30.9.2023;3.8;NM;NM;NM;Actual
31.8.2023;3.8;NM;NM;NM;Actual
31.7.2023;3.5;NM;NM;NM;Actual
30.6.2023;3.6;NM;NM;NM;Actual
31.5.2023;3.7;NM;NM;NM;Actual
30.4.2023;3.4;NM;NM;NM;Actual
31.3.2023;3.5;NM;NM;NM;Actual
28.2.2023;3.6;NM;NM;NM;Actual
31.1.2023;3.4;NM;NM;NM;Actual
31.12.2022;3.5;NM;NM;NM;Actual
30.11.2022;3.6;NM;NM;NM;Actual
31.10.2022;3.7;NM;NM;NM;Actual
30.9.2022;3.5;NM;NM;NM;Actual
31.8.2022;3.7;NM;NM;NM;Actual
31.7.2022;3.5;NM;NM;NM;Actual
30.6.2022;3.6;NM;NM;NM;Actual
31.5.2022;3.6;NM;NM;NM;Actual
30.4.2022;3.6;NM;NM;NM;Actual
31.3.2022;3.6;NM;NM;NM;Actual
28.2.2022;3.8;NM;NM;NM;Actual
31.1.2022;4;NM;NM;NM;Actual
31.12.2021;3.9;NM;NM;NM;Actual
30.11.2021;4.2;NM;NM;NM;Actual
31.10.2021;4.5;NM;NM;NM;Actual
30.9.2021;4.8;NM;NM;NM;Actual
31.8.2021;5.2;NM;NM;NM;Actual
31.7.2021;5.4;NM;NM;NM;Actual
30.6.2021;5.9;NM;NM;NM;Actual
31.5.2021;5.8;NM;NM;NM;Actual
30.4.2021;6.1;NM;NM;NM;Actual
31.3.2021;6.1;NM;NM;NM;Actual
28.2.2021;6.2;NM;NM;NM;Actual
31.1.2021;6.3;NM;NM;NM;Actual
31.12.2020;6.7;NM;NM;NM;Actual
30.11.2020;6.7;NM;NM;NM;Actual
31.10.2020;6.9;NM;NM;NM;Actual
30.9.2020;7.9;NM;NM;NM;Actual
31.8.2020;8.4;NM;NM;NM;Actual
31.7.2020;10.2;NM;NM;NM;Actual
30.6.2020;11;NM;NM;NM;Actual
31.5.2020;13.2;NM;NM;NM;Actual
30.4.2020;14.7;NM;NM;NM;Actual
31.3.2020;4.4;NM;NM;NM;Actual
29.2.2020;3.5;NM;NM;NM;Actual
31.1.2020;3.5;NM;NM;NM;Actual
31.12.2019;3.6;NM;NM;NM;Actual
30.11.2019;3.6;NM;NM;NM;Actual
31.10.2019;3.6;NM;NM;NM;Actual
30.9.2019;3.5;NM;NM;NM;Actual
31.8.2019;3.7;NM;NM;NM;Actual
31.7.2019;3.7;NM;NM;NM;Actual
30.6.2019;3.6;NM;NM;NM;Actual
31.5.2019;3.7;NM;NM;NM;Actual
30.4.2019;3.6;NM;NM;NM;Actual
31.3.2019;3.8;NM;NM;NM;Actual
28.2.2019;3.8;NM;NM;NM;Actual
31.1.2019;4;NM;NM;NM;Actual
31.12.2018;3.9;NM;NM;NM;Actual
30.11.2018;3.8;NM;NM;NM;Actual
31.10.2018;3.8;NM;NM;NM;Actual
30.9.2018;3.7;NM;NM;NM;Actual
31.8.2018;3.8;NM;NM;NM;Actual
31.7.2018;3.8;NM;NM;NM;Actual
30.6.2018;4;NM;NM;NM;Actual
31.5.2018;3.8;NM;NM;NM;Actual
30.4.2018;4;NM;NM;NM;Actual
31.3.2018;4;NM;NM;NM;Actual
28.2.2018;4.1;NM;NM;NM;Actual
31.1.2018;4;NM;NM;NM;Actual
31.12.2017;4.1;NM;NM;NM;Actual
30.11.2017;4.2;NM;NM;NM;Actual
31.10.2017;4.2;NM;NM;NM;Actual
30.9.2017;4.3;NM;NM;NM;Actual
31.8.2017;4.4;NM;NM;NM;Actual
31.7.2017;4.3;NM;NM;NM;Actual
30.6.2017;4.3;NM;NM;NM;Actual
31.5.2017;4.4;NM;NM;NM;Actual
30.4.2017;4.4;NM;NM;NM;Actual
31.3.2017;4.4;NM;NM;NM;Actual
28.2.2017;4.6;NM;NM;NM;Actual
31.1.2017;4.7;NM;NM;NM;Actual
31.12.2016;4.7;NM;NM;NM;Actual
30.11.2016;4.7;NM;NM;NM;Actual
31.10.2016;4.9;NM;NM;NM;Actual
30.9.2016;5;NM;NM;NM;Actual
31.8.2016;4.9;NM;NM;NM;Actual
31.7.2016;4.8;NM;NM;NM;Actual
30.6.2016;4.9;NM;NM;NM;Actual
31.5.2016;4.8;NM;NM;NM;Actual
30.4.2016;5.1;NM;NM;NM;Actual
31.3.2016;5;NM;NM;NM;Actual
29.2.2016;4.9;NM;NM;NM;Actual
31.1.2016;4.8;NM;NM;NM;Actual
31.12.2015;5;NM;NM;NM;Actual
30.11.2015;5.1;NM;NM;NM;Actual
31.10.2015;5;NM;NM;NM;Actual
30.9.2015;5;NM;NM;NM;Actual
31.8.2015;5.1;NM;NM;NM;Actual
31.7.2015;5.2;NM;NM;NM;Actual
30.6.2015;5.3;NM;NM;NM;Actual
31.5.2015;5.6;NM;NM;NM;Actual
30.4.2015;5.4;NM;NM;NM;Actual
31.3.2015;5.4;NM;NM;NM;Actual
28.2.2015;5.5;NM;NM;NM;Actual
31.1.2015;5.7;NM;NM;NM;Actual
31.12.2014;5.6;NM;NM;NM;Actual
30.11.2014;5.8;NM;NM;NM;Actual
31.10.2014;5.7;NM;NM;NM;Actual
30.9.2014;5.9;NM;NM;NM;Actual
31.8.2014;6.1;NM;NM;NM;Actual
31.7.2014;6.2;NM;NM;NM;Actual
30.6.2014;6.1;NM;NM;NM;Actual
31.5.2014;6.3;NM;NM;NM;Actual
30.4.2014;6.2;NM;NM;NM;Actual
31.3.2014;6.7;NM;NM;NM;Actual
28.2.2014;6.7;NM;NM;NM;Actual
31.1.2014;6.6;NM;NM;NM;Actual
31.12.2013;6.7;NM;NM;NM;Actual
30.11.2013;6.9;NM;NM;NM;Actual
31.10.2013;7.2;NM;NM;NM;Actual
30.9.2013;7.2;NM;NM;NM;Actual
31.8.2013;7.2;NM;NM;NM;Actual
31.7.2013;7.3;NM;NM;NM;Actual
30.6.2013;7.5;NM;NM;NM;Actual
31.5.2013;7.5;NM;NM;NM;Actual
30.4.2013;7.6;NM;NM;NM;Actual
31.3.2013;7.5;NM;NM;NM;Actual
28.2.2013;7.7;NM;NM;NM;Actual
31.1.2013;8;NM;NM;NM;Actual
31.12.2012;7.9;NM;NM;NM;Actual
30.11.2012;7.7;NM;NM;NM;Actual
31.10.2012;7.8;NM;NM;NM;Actual
30.9.2012;7.8;NM;NM;NM;Actual
31.8.2012;8.1;NM;NM;NM;Actual
31.7.2012;8.2;NM;NM;NM;Actual
30.6.2012;8.2;NM;NM;NM;Actual
31.5.2012;8.2;NM;NM;NM;Actual
30.4.2012;8.2;NM;NM;NM;Actual
31.3.2012;8.2;NM;NM;NM;Actual
29.2.2012;8.3;NM;NM;NM;Actual
31.1.2012;8.3;NM;NM;NM;Actual
31.12.2011;8.5;NM;NM;NM;Actual
30.11.2011;8.6;NM;NM;NM;Actual
31.10.2011;8.8;NM;NM;NM;Actual
30.9.2011;9;NM;NM;NM;Actual
31.8.2011;9;NM;NM;NM;Actual
31.7.2011;9;NM;NM;NM;Actual
30.6.2011;9.1;NM;NM;NM;Actual
31.5.2011;9;NM;NM;NM;Actual
30.4.2011;9.1;NM;NM;NM;Actual
31.3.2011;9;NM;NM;NM;Actual
28.2.2011;9;NM;NM;NM;Actual
31.1.2011;9.1;NM;NM;NM;Actual
31.12.2010;9.3;NM;NM;NM;Actual
30.11.2010;9.8;NM;NM;NM;Actual
31.10.2010;9.4;NM;NM;NM;Actual
30.9.2010;9.5;NM;NM;NM;Actual
31.8.2010;9.5;NM;NM;NM;Actual
31.7.2010;9.4;NM;NM;NM;Actual
30.6.2010;9.4;NM;NM;NM;Actual
